trip_id,start_time,end_time,headway_secs,exact_times
10A-R03,05:00:00,06:00:00,1200,0
10A-R03,06:00:00,09:00:00,600,0
10A-R03,09:00:00,16:00:00,1200,0
10A-R03,16:00:00,20:00:00,600,0
10A-R03,20:00:00,22:00:00,1200,0
10A-R04,05:00:00,06:00:00,1200,0
10A-R04,06:00:00,09:00:00,600,0
10A-R04,09:00:00,16:00:00,1200,0
10A-R04,16:00:00,20:00:00,600,0
10A-R04,20:00:00,22:00:00,1200,0
10B-R01,05:00:00,06:00:00,1200,0
10B-R01,06:00:00,09:00:00,600,0
10B-R01,09:00:00,16:00:00,1200,0
10B-R01,16:00:00,20:00:00,600,0
10B-R01,20:00:00,22:00:00,1200,0
10B-R02,05:00:00,06:00:00,1200,0
10B-R02,06:00:00,09:00:00,600,0
10B-R02,09:00:00,16:00:00,1200,0
10B-R02,16:00:00,20:00:00,600,0
10B-R02,20:00:00,22:00:00,1200,0
10D-R01,06:00:00,09:00:00,300,0
10D-R01,16:00:00,20:00:00,300,0
10D-R02,06:00:00,09:00:00,300,0
10D-R02,16:00:00,20:00:00,300,0
10H-R07,05:00:00,06:00:00,600,0
10H-R07,06:00:00,09:00:00,300,0
10H-R07,09:00:00,16:00:00,600,0
10H-R07,16:00:00,20:00:00,300,0
10H-R07,20:00:00,22:00:00,600,0
10H-R08,05:00:00,06:00:00,600,0
10H-R08,06:00:00,09:00:00,300,0
10H-R08,09:00:00,16:00:00,600,0
10H-R08,16:00:00,20:00:00,300,0
10H-R08,20:00:00,22:00:00,600,0
14B-R01,05:00:00,06:00:00,1200,0
14B-R01,06:00:00,09:00:00,600,0
14B-R01,09:00:00,16:00:00,1200,0
14B-R01,16:00:00,20:00:00,600,0
14B-R01,20:00:00,22:00:00,1200,0
14B-R02,05:00:00,06:00:00,1200,0
14B-R02,06:00:00,09:00:00,600,0
14B-R02,09:00:00,16:00:00,1200,0
14B-R02,16:00:00,20:00:00,600,0
14B-R02,20:00:00,22:00:00,1200,0
10-R01,05:00:00,06:00:00,600,0
10-R01,06:00:00,09:00:00,300,0
10-R01,09:00:00,16:00:00,600,0
10-R01,16:00:00,20:00:00,300,0
10-R01,20:00:00,22:00:00,600,0
10-R02,05:00:00,06:00:00,600,0
10-R02,06:00:00,09:00:00,300,0
10-R02,09:00:00,16:00:00,600,0
10-R02,16:00:00,20:00:00,300,0
10-R02,20:00:00,22:00:00,600,0
11B-R01,05:00:00,06:00:00,1200,0
11B-R01,06:00:00,09:00:00,600,0
11B-R01,09:00:00,16:00:00,1200,0
11B-R01,16:00:00,20:00:00,600,0
11B-R01,20:00:00,22:00:00,1200,0
11B-R02,05:00:00,06:00:00,1200,0
11B-R02,06:00:00,09:00:00,600,0
11B-R02,09:00:00,16:00:00,1200,0
11B-R02,16:00:00,20:00:00,600,0
11B-R02,20:00:00,22:00:00,1200,0
11D-R03,05:00:00,06:00:00,1200,0
11D-R03,06:00:00,09:00:00,600,0
11D-R03,09:00:00,16:00:00,1200,0
11D-R03,16:00:00,20:00:00,600,0
11D-R03,20:00:00,22:00:00,1200,0
11D-R02,05:00:00,06:00:00,1200,0
11D-R02,06:00:00,09:00:00,600,0
11D-R02,09:00:00,16:00:00,1200,0
11D-R02,16:00:00,20:00:00,600,0
11D-R02,20:00:00,22:00:00,1200,0
11M-R01,05:00:00,06:00:00,1200,0
11M-R01,06:00:00,09:00:00,600,0
11M-R01,09:00:00,16:00:00,1200,0
11M-R01,16:00:00,20:00:00,600,0
11M-R01,20:00:00,22:00:00,1200,0
11M-R02,05:00:00,06:00:00,1200,0
11M-R02,06:00:00,09:00:00,600,0
11M-R02,09:00:00,16:00:00,1200,0
11M-R02,16:00:00,20:00:00,600,0
11M-R02,20:00:00,22:00:00,1200,0
11-R02,05:00:00,06:00:00,600,0
11-R02,06:00:00,09:00:00,300,0
11-R02,09:00:00,16:00:00,600,0
11-R02,16:00:00,20:00:00,300,0
11-R02,20:00:00,22:00:00,600,0
11-R03,05:00:00,06:00:00,600,0
11-R03,06:00:00,09:00:00,300,0
11-R03,09:00:00,16:00:00,600,0
11-R03,16:00:00,20:00:00,300,0
11-R03,20:00:00,22:00:00,600,0
12A-R03,05:00:00,06:00:00,1200,0
12A-R03,06:00:00,09:00:00,600,0
12A-R03,09:00:00,16:00:00,1200,0
12A-R03,16:00:00,20:00:00,600,0
12A-R03,20:00:00,22:00:00,1200,0
12A-R04,05:00:00,06:00:00,1200,0
12A-R04,06:00:00,09:00:00,600,0
12A-R04,09:00:00,16:00:00,1200,0
12A-R04,16:00:00,20:00:00,600,0
12A-R04,20:00:00,22:00:00,1200,0
12B-R03,05:00:00,06:00:00,1200,0
12B-R03,06:00:00,09:00:00,600,0
12B-R03,09:00:00,16:00:00,1200,0
12B-R03,16:00:00,20:00:00,600,0
12B-R03,20:00:00,22:00:00,1200,0
12B-R04,05:00:00,06:00:00,1200,0
12B-R04,06:00:00,09:00:00,600,0
12B-R04,09:00:00,16:00:00,1200,0
12B-R04,16:00:00,20:00:00,600,0
12B-R04,20:00:00,22:00:00,1200,0
12F-R01,05:00:00,06:00:00,1200,0
12F-R01,06:00:00,09:00:00,600,0
12F-R01,09:00:00,16:00:00,1200,0
12F-R01,16:00:00,20:00:00,600,0
