trip_id,start_time,end_time,headway_secs,exact_times
10-R01,05:00:00,06:00:00,600,0
10-R01,06:00:00,09:00:00,300,0
10-R01,09:00:00,16:00:00,600,0
10-R01,16:00:00,20:00:00,300,0
10-R01,20:00:00,22:00:00,600,0
10-R02,05:00:00,06:00:00,600,0
10-R02,06:00:00,09:00:00,300,0
10-R02,09:00:00,16:00:00,600,0
10-R02,16:00:00,20:00:00,300,0
10-R02,20:00:00,22:00:00,600,0
11-R02,05:00:00,06:00:00,600,0
11-R02,06:00:00,09:00:00,300,0
11-R02,09:00:00,16:00:00,600,0
11-R02,16:00:00,20:00:00,300,0
11-R02,20:00:00,22:00:00,600,0
11-R03,05:00:00,06:00:00,600,0
11-R03,06:00:00,09:00:00,300,0
11-R03,09:00:00,16:00:00,600,0
11-R03,16:00:00,20:00:00,300,0
11-R03,20:00:00,22:00:00,600,0
12-R05,05:00:00,06:00:00,600,0
12-R05,06:00:00,09:00:00,300,0
12-R05,09:00:00,16:00:00,600,0
12-R05,16:00:00,20:00:00,300,0
12-R05,20:00:00,22:00:00,600,0
12-R04,05:00:00,06:00:00,600,0
12-R04,06:00:00,09:00:00,300,0
12-R04,09:00:00,16:00:00,600,0
12-R04,16:00:00,20:00:00,300,0
12-R04,20:00:00,22:00:00,600,0
13-R01,05:00:00,06:00:00,180,0
13-R01,06:00:00,09:00:00,90,0
13-R01,09:00:00,16:00:00,180,0
13-R01,16:00:00,20:00:00,90,0
13-R01,20:00:00,22:00:00,180,0
13-R02,05:00:00,06:00:00,180,0
13-R02,06:00:00,09:00:00,90,0
13-R02,09:00:00,16:00:00,180,0
13-R02,16:00:00,20:00:00,90,0
13-R02,20:00:00,22:00:00,180,0
14-R05,05:00:00,06:00:00,1200,0
14-R05,06:00:00,09:00:00,600,0
14-R05,09:00:00,16:00:00,1200,0
14-R05,16:00:00,20:00:00,600,0
14-R05,20:00:00,22:00:00,1200,0
14-R06,05:00:00,06:00:00,1200,0
14-R06,06:00:00,09:00:00,600,0
14-R06,09:00:00,16:00:00,1200,0
14-R06,16:00:00,20:00:00,600,0
14-R06,20:00:00,22:00:00,1200,0
1-R07,05:00:00,06:00:00,180,0
1-R07,06:00:00,09:00:00,90,0
1-R07,09:00:00,16:00:00,180,0
1-R07,16:00:00,20:00:00,90,0
1-R07,20:00:00,22:00:00,180,0
1-R08,05:00:00,06:00:00,180,0
1-R08,06:00:00,09:00:00,90,0
1-R08,09:00:00,16:00:00,180,0
1-R08,16:00:00,20:00:00,90,0
1-R08,20:00:00,22:00:00,180,0
4-R12,05:00:00,11:00:00,600,0
4-R13,05:00:00,11:00:00,600,0
5-R01,05:00:00,06:00:00,300,0
5-R01,06:00:00,09:00:00,150,0
5-R01,09:00:00,16:00:00,300,0
5-R01,16:00:00,20:00:00,150,0
5-R01,20:00:00,22:00:00,300,0
5-R02,05:00:00,06:00:00,300,0
5-R02,06:00:00,09:00:00,150,0
5-R02,09:00:00,16:00:00,300,0
5-R02,16:00:00,20:00:00,150,0
5-R02,20:00:00,22:00:00,300,0
7-R01,05:00:00,06:00:00,300,0
7-R01,06:00:00,09:00:00,150,0
7-R01,09:00:00,16:00:00,300,0
7-R01,16:00:00,20:00:00,150,0
7-R01,20:00:00,22:00:00,300,0
7-R02,05:00:00,06:00:00,300,0
7-R02,06:00:00,09:00:00,150,0
7-R02,09:00:00,16:00:00,300,0
7-R02,16:00:00,20:00:00,150,0
7-R02,20:00:00,22:00:00,300,0
9-R01,05:00:00,06:00:00,300,0
