trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,shape_dist_traveled
10B-R01,5:00:00,5:00:10,B03270P,0,0,
10B-R01,5:02:11,5:02:21,B05785P,1,0,
10B-R01,5:03:36,5:03:46,B05536P,2,0,
10B-R01,5:08:07,5:08:17,B02723P,3,0,
11B-R02,5:00:00,5:00:10,B06652P,0,0,
11B-R02,5:04:04,5:04:14,B06654P,1,0,
11B-R02,5:26:54,5:27:04,B03291P,2,0,
11P-R02,5:00:00,5:00:10,B06654P,0,0,
11P-R02,5:01:15,5:01:25,B06666P,1,0,
11P-R02,5:05:24,5:05:34,B06667P,2,0,
11P-R02,5:06:49,5:06:59,B06655P,3,0,
11P-R02,5:08:58,5:09:08,B06665P,4,0,
11P-R02,5:10:30,5:10:40,B06653P,5,0,
11P-R02,5:17:36,5:17:46,B03280P,6,0,
11P-R02,5:18:24,5:18:34,B06663P,7,0,
11P-R02,5:20:08,5:20:18,B00368P,8,0,
11P-R02,5:21:47,5:21:57,B00227P,9,0,
11P-R02,5:22:22,5:22:32,B05318P,10,0,
11P-R02,5:23:17,5:23:27,B00198P,11,0,
11P-R02,5:24:04,5:24:14,B06661P,12,0,
11P-R02,5:25:17,5:25:27,B00603P,13,0,
11P-R02,5:27:36,5:27:46,B05660P,14,0,
11P-R02,5:29:22,5:29:32,B02352P,15,0,
11P-R02,5:31:09,5:31:19,B04518P,16,0,
11P-R02,5:33:33,5:33:43,B02308P,17,0,
11P-R02,5:35:34,5:35:44,B04476P,18,0,
11P-R02,5:36:31,5:36:41,B03135P,19,0,
11P-R02,5:37:34,5:37:44,B00637P,20,0,
11P-R02,5:40:16,5:40:26,B01677P,21,0,
11P-R02,5:42:16,5:42:26,B03289P,22,0,
1E-R01,5:00:00,5:00:10,B05584P,0,0,
1E-R01,5:00:38,5:00:48,B05394P,1,0,
1E-R01,5:01:30,5:01:40,B02668P,2,0,
1E-R01,5:02:25,5:02:35,B01106P,3,0,
1E-R01,5:03:38,5:03:48,B01130P,4,0,
1E-R01,5:06:35,5:06:45,B02539P,5,0,
1E-R01,5:07:48,5:07:58,B00296P,6,0,
1E-R01,5:11:41,5:11:51,B01818P,7,0,
1E-R01,5:13:35,5:13:45,B00897P,8,0,
1E-R01,5:16:01,5:16:11,B02644P,9,0,
1E-R01,5:17:06,5:17:16,B05311P,10,0,
1E-R01,5:19:07,5:19:17,B03175P,11,0,
1E-R01,5:20:52,5:21:02,B05435P,12,0,
1E-R01,5:21:57,5:22:07,B00654P,13,0,
1E-R01,5:25:18,5:25:28,B01349P,14,0,
1E-R01,5:26:43,5:26:53,B00729P,15,0,
1E-R01,5:29:17,5:29:27,B03626P,16,0,
1E-R01,5:31:13,5:31:23,B01083P,17,0,
1E-R01,5:34:06,5:34:16,B05426P,18,0,
1E-R01,5:38:31,5:38:41,B01610P,19,0,
1E-R01,5:39:30,5:39:40,B02860P,20,0,
1E-R01,5:41:37,5:41:47,B04668P,21,0,
1E-R01,5:42:52,5:43:02,B00954P,22,0,
1E-R01,5:46:18,5:46:28,B06578P,23,0,
1E-R02,5:00:00,5:00:10,B06578P,0,0,
1E-R02,5:01:58,5:02:08,B05623P,1,0,
1E-R02,5:06:32,5:06:42,B05635P,2,0,
1E-R02,5:08:23,5:08:33,B05425P,3,0,
1E-R02,5:10:09,5:10:19,B00695P,4,0,
1E-R02,5:12:32,5:12:42,B04790P,5,0,
1E-R02,5:15:20,5:15:30,B01541P,6,0,
1E-R02,5:17:35,5:17:45,B00814P,7,0,
1E-R02,5:20:18,5:20:28,B00730P,8,0,
1E-R02,5:21:43,5:21:53,B00459P,9,0,
1E-R02,5:24:57,5:25:07,B03597P,10,0,
1E-R02,5:25:54,5:26:04,B05434P,11,0,
1E-R02,5:27:40,5:27:50,B03174P,12,0,
1E-R02,5:29:43,5:29:53,B05898P,13,0,
1E-R02,5:31:06,5:31:16,B01001P,14,0,
1E-R02,5:33:17,5:33:27,B04803P,15,0,
1E-R02,5:34:38,5:34:48,B03136P,16,0,
1E-R02,5:38:43,5:38:53,B00295P,17,0,
1E-R02,5:40:43,5:40:53,B02538P,18,0,
1E-R02,5:43:09,5:43:19,B01497P,19,0,
1E-R02,5:43:52,5:44:02,B00684P,20,0,
1E-R02,5:44:34,5:44:44,B05072P,21,0,
1E-R02,5:45:36,5:45:46,B01493P,22,0,
1E-R02,5:46:51,5:47:01,B05584P,23,0,
2H-R03,5:00:00,5:00:10,B03273P,0,0,
2H-R03,5:02:22,5:02:32,B03377P,1,0,
2H-R03,5:08:17,5:08:27,B01073P,2,0,
2H-R03,5:08:52,5:09:02,B06668P,3,0,
2H-R03,5:11:01,5:11:11,B00770P,4,0,
2H-R03,5:16:14,5:16:24,B03199P,5,0,
2H-R04,5:00:00,5:00:10,B03199P,0,0,
2H-R04,5:07:53,5:08:03,B00317P,1,0,
2H-R04,5:09:00,5:09:10,B00318P,2,0,
2H-R04,5:10:25,5:10:35,B01311P,3,0,
2H-R04,5:12:32,5:12:42,B05389P,4,0,
2H-R04,5:13:14,5:13:24,B05170P,5,0,
2H-R04,5:14:46,5:14:56,B00388P,6,0,
2H-R04,5:16:19,5:16:29,B03084P,7,0,
2H-R04,5:17:33,5:17:43,B02059P,8,0,
2H-R04,5:22:14,5:22:24,B02594P,9,0,
2H-R04,5:23:21,5:23:31,B00687P,10,0,
