trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,shape_dist_traveled
3-R05C,5:00:00,5:00:10,P00099,0,0,
3-R05C,5:06:02,5:06:12,P00175,1,0,
3-R05C,5:08:28,5:08:38,P00237,2,0,
3-R05C,5:12:14,5:12:24,P00201,3,0,
3-R05C,5:18:32,5:18:42,P00050,4,0,
3-R05C,5:24:31,5:24:41,P00091,5,0,
3-R05C,5:29:06,5:29:16,P00243,6,0,
3-R05C,5:39:29,5:39:39,P00081,7,0,
3-R05C,5:45:44,5:45:54,P00087,8,0,
3-R05C,5:51:08,5:51:18,P00208,9,0,
3-R05C,6:04:24,6:04:34,P00176,10,0,
3-R05C,6:20:19,6:20:29,P00137,11,0,
3-R06C,5:00:00,5:00:10,P00137,0,0,
3-R06C,5:07:13,5:07:23,P00176,1,0,
3-R06C,5:20:25,5:20:35,P00208,2,0,
3-R06C,5:25:50,5:26:00,P00087,3,0,
3-R06C,5:32:06,5:32:16,P00081,4,0,
3-R06C,5:42:29,5:42:39,P00243,5,0,
3-R06C,5:47:03,5:47:13,P00091,6,0,
3-R06C,5:53:02,5:53:12,P00050,7,0,
3-R06C,5:59:21,5:59:31,P00201,8,0,
3-R06C,6:03:06,6:03:16,P00237,9,0,
3-R06C,6:05:30,6:05:40,P00175,10,0,
3-R06C,6:11:19,6:11:29,P00099,11,0,
13-R01,5:00:00,5:00:10,G00612,0,0,
13-R01,5:10:12,5:10:22,G00607,1,0,
13-R01,5:22:15,5:22:25,G00604,2,0,
13-R01,5:26:11,5:26:21,G00601,3,0,
13-R01,5:29:41,5:29:51,G00599,4,0,
13-R01,5:32:25,5:32:35,G00597,5,0,
13-R01,5:35:33,5:35:43,G00595,6,0,
13-R01,5:39:16,5:39:26,G00593,7,0,
13-R01,5:43:33,5:43:43,G00588,8,0,
13-R01,5:46:50,5:47:00,G00585,9,0,
13-R01,5:51:24,5:51:34,G00089,10,0,
13-R01,5:56:26,5:56:36,G00583,11,0,
13-R01,6:00:54,6:01:04,G00580,12,0,
13-R01,6:09:36,6:09:46,G00007,13,0,
13-R02,5:00:00,5:00:10,G00008,0,0,
13-R02,5:07:57,5:08:07,G00582,1,0,
13-R02,5:12:32,5:12:42,G00584,2,0,
13-R02,5:17:31,5:17:41,G00091,3,0,
13-R02,5:22:05,5:22:15,G00587,4,0,
13-R02,5:25:21,5:25:31,G00592,5,0,
13-R02,5:29:40,5:29:50,G00594,6,0,
13-R02,5:33:24,5:33:34,G00596,7,0,
13-R02,5:36:31,5:36:41,G00598,8,0,
13-R02,5:39:13,5:39:23,G00600,9,0,
13-R02,5:42:40,5:42:50,G00602,10,0,
13-R02,5:46:39,5:46:49,G00603,11,0,
13-R02,5:59:57,6:00:07,G00608,12,0,
13-R02,6:09:26,6:09:36,G00613,13,0,
11-R02,5:00:00,5:00:10,G00669,0,0,
11-R02,5:10:21,5:10:31,G00558,1,0,
11-R02,5:13:22,5:13:32,G00551,2,0,
11-R02,5:15:53,5:16:03,G00547,3,0,
11-R02,5:18:07,5:18:17,G00543,4,0,
11-R02,5:22:14,5:22:24,G00539,5,0,
11-R02,5:26:54,5:27:04,G00535,6,0,
11-R02,5:29:20,5:29:30,G00532,7,0,
11-R02,5:34:01,5:34:11,G00528,8,0,
11-R02,5:37:10,5:37:20,G00525,9,0,
11-R02,5:40:46,5:40:56,G00522,10,0,
11-R02,5:44:06,5:44:16,G00520,11,0,
11-R02,5:50:16,5:50:26,G00518,12,0,
11-R02,5:54:15,5:54:25,G00515,13,0,
11-R02,6:02:43,6:02:53,G00513,14,0,
11-R03,5:00:00,5:00:10,G00513,0,0,
11-R03,5:15:01,5:15:11,G00517,1,0,
11-R03,5:18:46,5:18:56,G00519,2,0,
11-R03,5:25:02,5:25:12,G00521,3,0,
11-R03,5:28:20,5:28:30,G00523,4,0,
11-R03,5:32:00,5:32:10,G00527,5,0,
11-R03,5:35:09,5:35:19,G00529,6,0,
11-R03,5:48:58,5:49:08,G00534,7,0,
11-R03,5:51:24,5:51:34,G00538,8,0,
11-R03,5:56:02,5:56:12,G00541,9,0,
