route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
10A,SH,10A-R03,Rusun Marunda - Tanjung Priok,0,,uzgh
10A,SH,10A-R04,Tanjung Priok - Rusun Marunda,1,,6ysj
10B,SH,10B-R01,Rusun Cipinang Besar Selatan - Halim,0,,10B-R01_shp
10B,SH,10B-R02,Halim - Rusun Cipinang Besar Selatan,1,,10B-R02_shp
10D,SH,10D-R01,Tanjung Priok - Kampung Rambutan,0,,10D-R01_shp
10D,SH,10D-R02,Kampung Rambutan - Tanjung Priok,1,,10D-R02_shp
10H,SH,10H-R07,Tanjung Priok - Bundaran Senayan,0,,ywhl
10H,SH,10H-R08,Bundaran Senayan - Tanjung Priok,1,,f5wm
10,SH,10-R01,Tanjung Priok - PGC,0,,10-R01_shp
10,SH,10-R02,PGC - Tanjung Priok,1,,10-R02_shp
11B,SH,11B-R01,Rusun Rawa Bebek - Penggilingan,0,,11B-R01_shp
11B,SH,11B-R02,Penggilingan - Rusun Rawa Bebek,1,,11B-R02_shp
11D,SH,11D-R02,Pulo Gadung - Pulo Gebang via PIK,1,,11D-R02_shp
11D,SH,11D-R03,Pulo Gebang - Pulo Gadung via PIK,0,,ro55
11M,SH,11M-R01,Rusun Rawa Bebek - Bukit Duri,0,,11M-R01_shp
11M,SH,11M-R02,Bukit Duri - Rusun Rawa Bebek,1,,11M-R02_shp
11P,SH,11P-R01,Rusun Pondok Bambu - Walikota Jakarta Timur,0,,11P-R01_shp
11P,SH,11P-R02,Walikota Jakarta Timur - Rusun Pondok Bambu,1,,11P-R02_shp
11Q,SH,11Q-R07,Pulo Gebang - Bidara Cina via BKT,1,,yheo
11Q,SH,11Q-R08,Bidara Cina - Pulo Gebang via BKT,0,,bdw0
11,SH,11-R02,Kampung Melayu - Pulo Gebang,1,,52ap
11,SH,11-R03,Pulo Gebang - Kampung Melayu,0,,zd57
12A,SH,12A-R03,Pelabuhan Kali Adem - Beos,0,,12A-R03_shp
12A,SH,12A-R04,Beos - Pelabuhan Kali Adem,1,,12A-R04_shp
12B,SH,12B-R03,Pluit - Senen,0,,12B-R03_shp
12B,SH,12B-R04,Senen - Pluit,1,,12B-R04_shp
12C,SH,12C-R01,Rusun Waduk Pluit - Penjaringan,0,,12C-R01_shp
12C,SH,12C-R02,Penjaringan - Rusun Waduk Pluit,1,,12C-R02_shp
12F,SH,12F-R01,Rusun Marunda - Rusun Waduk Pluit,0,,12F-R01_shp
12F,SH,12F-R02,Rusun Waduk Pluit - Rusun Marunda,1,,12F-R02_shp
12H,SH,12H-R01,Rusun Penjaringan - Penjaringan,0,,12H-R01_shp
12H,SH,12H-R02,Penjaringan - Rusun Penjaringan,1,,12H-R02_shp
12P,SH,12P-R01,St. LRT Pegangsaan Dua - JIS,0,,12P-R01_shp
